action unix_ts from_origin_ts from_origin_s
origin 1720958019513.5576 0.0 0.0
sniffer-on 1720958019517.5693 4.01171875 0.00401171875
skygo-on 1720958019519.5713 6.013671875 0.006013671875
skysportuno-on 1720958062190.0273 42676.4697265625 42.6764697265625
skysportuno-off 1720958242189.4575 222675.89990234375 222.67589990234376
skysportcalcio-on 1720958258396.9536 238883.39599609375 238.88339599609375
skysportcalcio-off 1720958438396.9675 418883.4099121094 418.88340991210936
skysporttennis-on 1720958454590.0732 435076.515625 435.076515625
skysporttennis-off 1720958634589.3245 615075.7668457031 615.0757668457031
skygo-off 1720958649087.9136 629574.3559570312 629.5743559570312
sniffer-off 1720958649157.9292 629644.3715820312 629.6443715820312
